Altitude (m),Thrust (N),Drag (N),Gravity (N)
1480.8112549993753,[82667.89182717  2220.48026168],[-14730.62790474   -395.66835178],[     0. -24525.]
1482.592617222109,[82662.50683705  2104.44346607],[-14842.06139835   -377.85303553],[     0. -24525.]
1484.282785806565,[82657.38001483  1988.87553262],[-14953.87951307   -359.81548261],[     0. -24525.]
1485.881370631221,[82652.51508855  1873.77117467],[-15066.08421246   -341.55517569],[     0. -24525.]
1487.3879843198729,[82647.91574573  1759.12514964],[-15178.67749908   -323.0715873 ],[     0. -24525.]
1488.802242222774,[82643.58563416  1644.93225833],[-15291.66141433   -304.36417964],[     0. -24525.]
1490.12376239799,[82639.52836262  1531.18734431],[-15405.03803838   -285.43240445],[     0. -24525.]
1491.3521655929655,[82635.74750164  1417.88529328],[-15518.80949006   -266.27570283],[     0. -24525.]
1492.4870752263027,[82632.24658422  1305.02103243],[-15632.97792681   -246.89350511],[     0. -24525.]
1493.5281173697492,[82629.0291065   1192.58952988],[-15747.54554454   -227.28523064],[     0. -24525.]
1494.4749207303928,[82626.09852852  1080.58579401],[-15862.51457754   -207.45028768],[     0. -24525.]
1495.3271166330617,[82623.45827488   969.00487294],[-15977.88729843   -187.38807325],[     0. -24525.]
1496.0843390029293,[82621.11173538   857.84185389],[-16093.66601803   -167.09797294],[     0. -24525.]
1496.7462243483205,[82619.06226574   747.09186266],[-16209.85308531   -146.57936078],[     0. -24525.]
1497.3124117437194,[82617.3131882    636.75006304],[-16326.45088727   -125.8315991 ],[     0. -24525.]
1497.782542812974,[82615.86779219   526.81165626],[-16443.46184886   -104.85403837],[     0. -24525.]
1498.1562617127004,[82614.72933495   417.27188044],[-16560.88843294    -83.64601705],[     0. -24525.]
1498.43321511588,[82613.90104214   308.12601008],[-16678.73314012    -62.20686145],[     0. -24525.]
1498.6130521956545,[82613.38610844   199.36935552],[-16796.99850878    -40.53588559],[     0. -24525.]
1498.6954246093087,[82613.18769817    90.9972624 ],[-16915.68711488    -18.63239105],[     0. -24525.]
1498.6799864824482,[ 8.26133089e+04 -1.69948888e+01],[-1.70348016e+04  3.50433317e+00],[     0. -24525.]
1498.566394393365,[82613.75295684  -124.61168333],[-17154.34453111     25.87501078],[     0. -24525.]
1498.3543073575918,[82614.52280776  -231.85767259],[-17274.3186807      48.48037837],[     0. -24525.]
1498.0433868126415,[82615.62154722  -338.73737466],[-17394.72674654     71.32118552],[     0. -24525.]
1497.633296602935,[82617.05219625  -445.25527479],[-17515.57149165     94.39819493],[     0. -24525.]
