Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
168,87848.43773233521,[0. 0.],[-0.98476976  0.01013452],[     0. -14715.]
169,87829.1928590074,[0. 0.],[-0.98716566  0.02072228],[     0. -14715.]
170,87800.13799949443,[0. 0.],[-0.9908234   0.03140131],[     0. -14715.]
171,87761.27316091568,[0. 0.],[-0.99575677  0.0422127 ],[     0. -14715.]
172,87712.59835047871,[0. 0.],[-1.00198441  0.0531984 ],[     0. -14715.]
173,87654.11357550735,[0. 0.],[-1.00952989  0.06440145],[     0. -14715.]
174,87585.81884347029,[0. 0.],[-1.01842193  0.0758663 ],[     0. -14715.]
175,87507.71416201076,[0. 0.],[-1.02869452  0.08763907],[     0. -14715.]
176,87419.79953897728,[0. 0.],[-1.04038716  0.09976787],[     0. -14715.]
177,87322.07498245573,[0. 0.],[-1.05354509  0.11230311],[     0. -14715.]
178,87214.5405008029,[0. 0.],[-1.06821962  0.12529783],[     0. -14715.]
179,87097.19610268196,[0. 0.],[-1.08446841  0.13880812],[     0. -14715.]
180,86970.04179709977,[0. 0.],[-1.10235586  0.15289343],[     0. -14715.]
181,86833.07759344653,[0. 0.],[-1.12195357  0.16761707],[     0. -14715.]
182,86686.30350153802,[0. 0.],[-1.14334074  0.18304663],[     0. -14715.]
183,86529.71953166058,[0. 0.],[-1.16660474  0.19925446],[     0. -14715.]
184,86363.32569461945,[0. 0.],[-1.19184171  0.21631827],[     0. -14715.]
185,86187.1220017905,[0. 0.],[-1.21915717  0.23432167],[     0. -14715.]
186,86001.108465176,[0. 0.],[-1.24866676  0.25335486],[     0. -14715.]
187,85805.28509746474,[0. 0.],[-1.28049708  0.27351531],[     0. -14715.]
188,85599.65191209702,[0. 0.],[-1.3147865   0.29490856],[     0. -14715.]
189,85384.208923335,[0. 0.],[-1.35168621  0.31764908],[     0. -14715.]
190,85158.95614633904,[0. 0.],[-1.39136129  0.34186123],[     0. -14715.]
191,84923.89359725057,[0. 0.],[-1.43399189  0.3676803 ],[     0. -14715.]
192,84679.02129328229,[0. 0.],[-1.47977459  0.39525367],[     0. -14715.]
193,84424.33925281645,[0. 0.],[-1.52892386  0.42474211],[     0. -14715.]
194,84159.84749551202,[0. 0.],[-1.58167365  0.4563212 ],[     0. -14715.]
195,83885.54604242172,[0. 0.],[-1.63827926  0.49018291],[     0. -14715.]
196,83601.43491612002,[0. 0.],[-1.69901926  0.52653735],[     0. -14715.]
197,83307.51414084322,[0. 0.],[-1.76419775  0.56561475],[     0. -14715.]
198,83003.78374264293,[0. 0.],[-1.83414675  0.60766759],[     0. -14715.]
199,82690.24374955437,[0. 0.],[-1.90922893  0.65297306],[     0. -14715.]
200,82366.89419178118,[0. 0.],[-1.9898406   0.70183573],[     0. -14715.]
201,82033.73510189848,[0. 0.],[-2.07641503  0.75459057],[     0. -14715.]
202,81690.76651507616,[0. 0.],[-2.16942613  0.8116063 ],[     0. -14715.]
203,81337.9884693247,[0. 0.],[-2.26939255  0.87328914],[     0. -14715.]
204,80975.401005766,[0. 0.],[-2.37688221  0.940087  ],[     0. -14715.]
205,80603.00416893198,[0. 0.],[-2.49251738  1.01249417],[     0. -14715.]
